amount,hour1,state1,zip1,custAttr1,field1,custAttr2,field2,hour2,flag1,total,field3,field4,indicator1,indicator2,flag2,flag3,flag4,flag5,fraud,day
38.85,17,OR,973,1234567890181670,3,qzjmsehiulekd1494@msn.com,0,17,1,38.85,1909,21,0,0,1,0,0,1,0,80
10.36,10,CT,66,1234567890135430,2,aefsumrubgotq@hotmail.com,0,10,1,10.36,2968,9,0,0,1,0,0,1,0,86
,20,FL,327,1234567890156270,3,rmtwvpkqjayrw1@aol.com,0,20,1,12.95,-6150,8,0,0,1,1,0,1,0,66
11.01,13,TX,770,1234567890127160,2,tappyodoajsur2000@yahoo.com,0,13,1,11.01,364,22,0,0,0,0,0,1,1,7
,19,CA,900,1234567890124780,0,kjwkmbrnadwzl@yccgoetyumpldqwz.com,0,19,1,38.85,-8272,8,0,0,0,0,0,1,0,2
31.08,20,TX,770,1234567890171830,0,wuroafahlmipi37@hotmail.com,0,20,1,31.08,443,21,0,0,1,1,0,1,0,64
,17,OR,974,1234567890172420,2,rblpfeqtsbyog8@msn.com,1,17,0,12.95,2613,8,0,0,1,0,0,1,0,65
12.95,8,WV,253,1234567890132200,2,ictqnwgrjjyks615@hotmail.com,1,8,0,12.95,5986,19,0,0,0,0,0,1,0,14
12.95,10,CA,904,1234567890171630,3,dnarkvxxkkkbu321@yahoo.com,0,10,1,12.95,152,8,1,0,0,0,0,1,1,67
,21,CA,951,1234567890137270,3,gymdpqszxpomx69@sbcglobal.net,1,21,0,11.01,1854,22,0,0,0,0,0,1,0,20
38.85,20,CA,926,1234567890137290,2,iywebvhbkjidl@cox.net,1,20,1,38.85,-2898,6,0,0,1,0,0,3,0,20
12.95,7,FL,336,1234567890133930,3,tiqzrbnnxvjhs328@hotmail.com,0,7,1,**,1843,10,1,0,0,0,0,1,0,16
12.95,2,CA,913,1234567890189260,3,sdtokdzjwghho@cs.com,1,2,1,**,6009,7,0,0,0,0,0,1,0,88
12.95,19,NY,103,1234567890183640,2,fsxckqzcwhnva@msn.com,0,19,1,12.95,6125,11,0,0,0,0,0,1,0,79
49.95,13,CA,935,1234567890178040,3,ywulxkyxqzksf904@earthlink.net,0,13,0,49.95,-3503,23,0,0,1,0,0,1,0,72
25.9,0,CA,925,1234567890159930,3,utuwbgehjywfw42@msn.com,0,0,1,25.9,4724,17,0,0,0,0,0,1,0,49
12.95,19,PA,152,1234567890168460,2,mwqttbhywmbuh024@hotmail.com,0,19,0,12.95,5826,21,0,0,1,1,0,1,1,59
38.85,14,MI,481,1234567890175250,2,kgbnnogwbouqv@comcast.net,1,14,0,38.85,-1881,24,0,0,0,0,0,1,0,69
38.85,16,IN,463,1234567890131750,0,wnlwkbdrzsoaz.@accenture.com,1,16,0,38.85,-329,10,0,0,1,0,0,1,0,13
38.85,14,FL,322,1234567890142180,3,qutanwcqxupzj@msn.com,0,14,1,38.85,-63,8,0,0,0,1,0,1,0,26
38.85,7,FL,339,1234567890147050,0,swqpcvfqafxfq@cs.com,1,7,0,38.85,-6897,21,0,0,1,0,0,1,0,32
12.95,20,TX,765,1234567890186550,2,jamhjcpqmuktv@hotmail.com,0,20,1,12.95,1698,12,0,0,0,1,0,1,0,83
12.95,9,MA,24,1234567890143680,2,kjlbgazafphcy152@aol.com,1,9,0,12.95,-3698,16,0,0,1,1,0,2,0,28
38.85,20,PA,194,1234567890131970,3,lwaojyoiuajgt25@drexel.edu,1,20,0,38.85,-4031,12,0,0,0,0,0,2,0,13
49.95,13,CA,917,1234567890148620,3,rycpxbnmrjuxe@hotmail.com,1,13,0,49.95,-1632,24,0,0,1,1,0,2,0,34
38.85,2,NV,891,1234567890175780,3,qjmeaknilfwqa@cox.net,1,2,0,38.85,1503,7,1,0,1,1,0,2,0,71
38.85,4,VA,229,1234567890159960,2,vjmylwqklayxr01@ntelos.net,0,4,1,38.85,3374,9,0,0,0,0,0,2,1,49
12.95,0,CA,957,1234567890148230,0,pkrnaejqbjrgy@sbcglobal.net,1,0,0,12.95,5344,28,0,0,0,1,0,1,0,34
20.72,1,TX,756,1234567890189250,3,nkevipujjateu@cox-internet.com,1,1,0,20.72,6216,26,0,0,1,1,0,2,0,88
12.95,23,CA,926,1234567890133030,3,drabdzjfbfdzj@hotmail.com,0,23,0,12.95,12,20,1,0,1,1,0,1,0,14
0,13,LA,707,1234567890181610,4,zsxbringavcae@cbbtr.com,0,13,0,0,-1021,11,0,0,1,1,0,1434,1,77
38.85,12,CA,960,1234567890125090,3,tbolrdosvnbvg@yahoo.com,0,12,0,38.85,435,17,0,0,1,1,0,1,0,3
49.95,18,CO,809,1234567890161320,2,beuvdkhwnppqf@mcleodusa.net,0,18,1,49.95,-9574,10,1,0,1,0,0,1,0,50
12.95,21,CA,926,1234567890175680,2,fhccfwifgrsxe@hotmail.com,0,21,0,**,5078,26,1,0,0,0,0,1,0,69
12.95,19,IL,604,1234567890175570,3,cfvqophxihxfo@attbi.com,0,19,1,12.95,3771,9,0,0,0,0,1,1,0,69
49.95,17,NJ,74,1234567890126720,2,jgtalfzesoday@optonline.net,0,17,0,49.95,-6144,21,0,0,1,1,0,1,0,6
38.85,13,AZ,852,1234567890147460,3,lwmlbtwogawxd92@msn.com,0,13,1,**,-801,9,0,0,1,0,0,1,1,78
38.85,11,CA,940,1234567890149470,0,knayufjhlsamv00@lbdgyl.co,1,11,0,38.85,634,21,0,0,1,0,0,1,0,35
12.95,5,CA,921,1234567890129850,3,cpnjcxdkfagow@earthlink.net,1,5,1,12.95,2750,10,1,0,0,0,0,1,0,11
25.9,17,MD,212,1234567890195240,3,vbacyffujlftz@comcast.net,0,17,0,25.9,4884,20,1,0,0,0,0,1,0,96
12.95,19,AR,729,1234567890163080,3,iyowmqgbkxfqa@hotmail.com,0,19,0,12.95,5330,8,0,0,1,1,0,1,0,52
0,12,TN,379,1234567890160150,4,antihyknzxmva@choicedata.com,0,12,0,0,-3943,8,1,0,1,1,0,1600,1,49
38.85,11,CA,927,1234567890139810,3,fcpznrbdwbsuj@firstam.com,1,11,0,38.85,-6271,8,0,0,1,0,0,1,0,23
38.85,15,MD,208,1234567890163620,3,namgpqomgzazj@starpower.net,1,15,1,38.85,-5311,9,0,0,0,0,0,1,1,53
38.85,13,OH,440,1234567890130060,1,oxhpwegcpkimz@ix.netcom.com,1,14,0,38.85,-2774,20,0,0,1,0,0,1,0,11
38.85,17,MA,15,1234567890139230,3,rksisqesgwryz@dszqumxb.com,0,17,0,38.85,4160,10,0,0,1,0,0,1,0,22
38.85,22,AZ,853,1234567890192270,3,lwvygdlpmvkfy5@aol.com,0,22,0,38.85,5709,15,0,0,1,1,0,3,0,91
38.85,16,MN,551,1234567890152770,3,lsvprqewaptdh@yahoo.com,1,16,0,38.85,4723,25,0,0,1,1,0,1,0,39
